hold_id,user_id,library_book_id,hold_date,expiry_date,status,queue_position
57,184,3736,2024-12-13 16:59:49,2024-12-20 16:59:49,PENDING,1
58,192,4386,2024-12-06 15:55:19,2024-12-13 15:55:19,PENDING,1
59,16,3118,2024-12-15 05:36:51,2024-12-22 05:36:51,FULFILLED,1
60,134,1187,2024-12-10 17:49:24,2024-12-17 17:49:24,PENDING,1
61,427,1245,2024-12-14 04:47:35,2024-12-21 04:47:35,PENDING,1
62,187,2117,2024-12-08 20:29:03,2024-12-15 20:29:03,PENDING,1
63,276,1522,2024-12-12 15:55:27,2024-12-19 15:55:27,PENDING,1
64,409,3932,2024-12-07 02:01:28,2024-12-14 02:01:28,EXPIRED,1
65,20,4523,2024-12-10 20:18:45,2024-12-17 20:18:45,PENDING,1
66,257,331,2024-12-16 07:09:34,2024-12-23 07:09:34,EXPIRED,1
67,123,1574,2024-12-08 17:16:49,2024-12-15 17:16:49,PENDING,1
68,317,2920,2024-12-04 12:50:41,2024-12-11 12:50:41,FULFILLED,1
69,359,2433,2024-12-05 23:54:41,2024-12-12 23:54:41,EXPIRED,1
70,270,3707,2024-12-12 15:51:01,2024-12-19 15:51:01,PENDING,1
71,219,6480,2024-12-09 19:07:37,2024-12-16 19:07:37,EXPIRED,1
72,302,203,2024-12-14 19:15:41,2024-12-21 19:15:41,PENDING,1
73,349,7057,2024-12-10 14:57:07,2024-12-17 14:57:07,PENDING,1
74,222,6283,2024-12-04 04:36:38,2024-12-11 04:36:38,PENDING,1
75,436,3286,2024-12-11 13:19:26,2024-12-18 13:19:26,FULFILLED,1
76,212,2752,2024-12-14 03:10:48,2024-12-21 03:10:48,PENDING,1
77,454,1640,2024-12-10 16:14:16,2024-12-17 16:14:16,PENDING,1
78,74,3246,2024-12-09 23:08:50,2024-12-16 23:08:50,FULFILLED,1
79,419,5611,2024-12-12 17:55:52,2024-12-19 17:55:52,PENDING,1
80,401,718,2024-12-03 20:49:19,2024-12-10 20:49:19,FULFILLED,1
81,320,682,2024-12-12 23:57:07,2024-12-19 23:57:07,EXPIRED,1
82,244,3159,2024-12-14 09:19:27,2024-12-21 09:19:27,EXPIRED,1
83,200,2937,2024-12-10 13:58:55,2024-12-17 13:58:55,EXPIRED,1
84,331,2268,2024-12-09 09:52:34,2024-12-16 09:52:34,EXPIRED,1
85,1,2213,2024-12-05 13:47:55,2024-12-12 13:47:55,PENDING,1
86,260,1519,2024-12-09 10:16:12,2024-12-16 10:16:12,FULFILLED,1
87,319,1006,2024-12-12 08:06:27,2024-12-19 08:06:27,FULFILLED,1
88,19,2475,2024-12-16 07:09:45,2024-12-23 07:09:45,EXPIRED,1
89,389,1418,2024-12-13 07:12:17,2024-12-20 07:12:17,EXPIRED,1
90,376,439,2024-12-11 22:05:17,2024-12-18 22:05:17,FULFILLED,1
91,130,2282,2024-12-04 02:10:59,2024-12-11 02:10:59,EXPIRED,1
92,128,1047,2024-12-06 14:01:11,2024-12-13 14:01:11,EXPIRED,1
93,160,656,2024-12-10 05:49:37,2024-12-17 05:49:37,FULFILLED,1
94,169,6535,2024-12-15 08:17:28,2024-12-22 08:17:28,PENDING,1
95,385,1009,2024-12-12 12:59:10,2024-12-19 12:59:10,FULFILLED,1
96,383,2680,2024-12-16 03:34:10,2024-12-23 03:34:10,FULFILLED,1
97,333,3725,2024-12-15 11:08:35,2024-12-22 11:08:35,FULFILLED,1
98,50,5410,2024-12-10 14:52:32,2024-12-17 14:52:32,EXPIRED,1
99,424,3186,2024-12-07 07:44:50,2024-12-14 07:44:50,FULFILLED,1
100,98,6752,2024-12-05 21:12:00,2024-12-12 21:12:00,PENDING,1
